alpha,beta,sample_n
0.5440328646898992,0.48527460170625525,10.0
0.7380488874125706,0.5985478696447012,20.0
0.8003875975812293,0.6160551945649569,30.0
0.7606984038575094,0.6649343156115293,40.0
0.820316750217785,0.7273536262917293,50.0
0.8462526379483682,0.720691871666932,60.0
0.8531254067854247,0.7314476228620055,70.0
0.8266607465847654,0.7730686679130732,80.0
0.91868019852216,0.7800717921854614,90.0
0.9301113400636327,0.7774342882692906,100.0
0.9456471211104572,0.7748257581447133,110.0
0.9000856858010721,0.8019235092914141,120.0
0.9114005835533358,0.7973057544561917,130.0
0.9226498076858753,0.799727862594541,140.0
0.9469417861321674,0.8152982197412769,150.0
